,date,Fishtown,Southwest Center City,Point Breeze Credit Union,Chinatown,WPHL-TV,Passyunk Square,Spring Garden Road,Callow Hill,Hawthorne,American Pie,Manayunk,Society Hill,West Mount Airy,Pennsport,Washington Square Park,Queen Village,Fitler Square,Staten Island,Rittenhouse Square,Somerton,East Kensington,Jefferson Torresdale Hospital,Northern Liberties,Francisville,Bella Vista,Fairmount,Old City,Logan Square
171,2021-04-18,28,52,75,78,10,42,57,0,0,34,46,24,45,14,37,36,36,61,48,39,32,33,72,43,29,15,0,48
172,2021-04-25,29,36,52,50,6,46,57,0,19,35,49,25,45,20,24,41,65,64,37,85,32,62,71,49,65,18,30,47
173,2021-05-02,30,58,54,65,11,21,34,0,20,35,48,29,27,34,20,59,43,67,52,59,16,38,65,31,36,22,30,56
174,2021-05-09,28,38,51,84,2,17,24,0,0,31,43,24,19,14,21,80,37,63,42,54,16,44,91,45,59,17,0,53
175,2021-05-16,30,32,69,67,7,21,35,0,0,29,40,26,46,28,32,47,95,64,67,47,16,48,55,6,44,19,0,58
176,2021-05-23,32,43,75,77,5,59,0,0,0,49,47,48,9,28,38,100,52,66,42,13,32,49,64,38,59,16,0,45
177,2021-05-30,35,60,35,83,6,52,24,0,20,45,47,41,38,14,82,62,75,68,50,61,66,35,61,51,67,14,31,58
178,2021-06-06,34,59,68,69,4,51,23,0,0,27,51,30,74,14,80,47,30,69,51,74,16,39,63,51,37,15,0,59
179,2021-06-13,37,43,58,70,3,34,0,0,0,30,41,28,65,14,100,58,45,69,74,47,49,69,62,38,30,13,0,60
180,2021-06-20,40,43,57,82,9,43,24,0,0,35,59,37,19,56,53,37,82,67,78,54,0,34,63,26,60,17,31,58
181,2021-06-27,36,48,51,72,6,51,12,0,0,32,45,42,0,7,70,53,7,68,64,13,16,68,65,64,59,20,0,55
182,2021-07-04,35,39,58,96,3,39,48,0,0,46,48,35,19,21,45,52,38,70,57,48,0,60,68,33,46,20,63,54
183,2021-07-11,36,49,70,91,3,64,0,0,0,34,50,32,56,7,34,43,30,68,55,54,33,20,61,38,82,20,0,56
184,2021-07-18,36,34,47,85,2,44,12,0,0,37,48,44,29,22,35,55,100,67,60,35,0,51,59,13,85,17,32,56
185,2021-07-25,33,38,44,96,4,60,35,0,0,44,41,10,9,35,37,50,37,64,51,47,16,44,47,32,37,20,0,51
186,2021-08-01,34,60,79,91,3,47,0,0,0,29,51,35,9,35,26,45,52,66,54,27,0,79,69,26,30,18,62,50
187,2021-08-08,30,33,32,75,5,35,12,0,0,30,52,29,19,14,30,32,45,64,63,34,17,44,65,32,30,16,0,51
188,2021-08-15,29,48,46,78,5,42,23,0,0,30,47,48,37,0,36,63,59,65,58,47,32,34,55,25,88,19,0,55
189,2021-08-22,31,50,61,76,5,22,24,0,0,32,48,27,38,43,28,98,76,67,59,7,17,35,44,26,46,23,63,42
190,2021-08-29,30,28,72,79,9,57,24,0,0,35,100,37,10,0,44,46,68,72,58,48,17,40,49,46,38,18,31,52
191,2021-09-05,38,29,36,73,5,68,50,0,21,30,50,36,30,37,35,42,39,65,58,43,70,31,72,20,24,20,0,56
192,2021-09-12,29,39,36,71,5,53,36,0,21,38,52,17,48,29,28,46,46,66,65,28,0,65,60,26,8,16,63,59
193,2021-09-19,34,34,51,89,4,58,0,0,42,30,42,36,10,36,31,55,62,63,59,49,34,51,55,7,39,14,64,52
194,2021-09-26,32,45,51,75,9,40,12,0,0,27,40,13,10,29,33,27,61,63,71,14,51,35,59,13,23,27,0,46
195,2021-10-03,34,39,66,75,3,40,12,0,0,25,42,29,19,29,38,30,76,64,79,42,17,60,74,7,53,16,63,48
