City,date,housing_price,roomtype
Chicago,2020-11,319529.21875,2beds
Chicago,2020-12,321168.6875,2beds
Chicago,2021-01,321895.9375,2beds
Chicago,2021-02,323101.71875,2beds
Chicago,2021-03,325415.32258064515,2beds
Chicago,2021-04,324975.46875,2beds
Chicago,2021-05,328243.03225806454,2beds
Chicago,2021-06,326866.25,2beds
Chicago,2021-07,329012.8125,2beds
Chicago,2021-08,331438.34375,2beds
Chicago,2021-09,332599.6875,2beds
Chicago,2021-10,333689.40625,2beds
Chicago,2021-11,335422.15625,2beds
Chicago,2021-12,336921.25,2beds
Chicago,2022-01,338496.0,2beds
Chicago,2022-02,339333.03125,2beds
Chicago,2022-03,340985.46875,2beds
Detroit,2020-05,35860.0,2beds
Detroit,2020-06,35853.0,2beds
Detroit,2020-07,34605.5,2beds
Detroit,2020-08,34868.5,2beds
Detroit,2020-09,35388.0,2beds
Detroit,2020-10,36047.5,2beds
Detroit,2020-11,36882.0,2beds
Detroit,2020-12,37498.666666666664,2beds
Detroit,2021-01,38384.666666666664,2beds
Detroit,2021-02,40259.5,2beds
Detroit,2021-03,38713.0,2beds
Detroit,2021-04,39840.0,2beds
Detroit,2021-05,42549.0,2beds
Detroit,2021-06,43174.0,2beds
Detroit,2021-07,44099.5,2beds
Detroit,2021-08,45113.0,2beds
Detroit,2021-09,47479.666666666664,2beds
Detroit,2021-10,48900.333333333336,2beds
Detroit,2021-11,49682.333333333336,2beds
Detroit,2021-12,49911.333333333336,2beds
Detroit,2022-01,50337.0,2beds
Detroit,2022-02,50753.666666666664,2beds
Detroit,2022-03,51658.666666666664,2beds
Los Angeles,2018-01,758106.340425532,2beds
Los Angeles,2018-02,766473.8085106383,2beds
Los Angeles,2018-03,771569.9583333334,2beds
Los Angeles,2018-04,778942.7708333334,2beds
Los Angeles,2018-05,783285.1458333334,2beds
Los Angeles,2018-06,787694.8958333334,2beds
Los Angeles,2018-07,786832.625,2beds
Los Angeles,2018-08,787712.2291666666,2beds
Los Angeles,2018-09,789326.1458333334,2beds
Los Angeles,2018-10,796060.1666666666,2beds
Los Angeles,2018-11,799944.5416666666,2beds
Los Angeles,2018-12,799806.2916666666,2beds
Los Angeles,2019-01,799200.3125,2beds
Los Angeles,2019-02,796437.3958333334,2beds
Los Angeles,2019-03,793759.625,2beds
